"name","code","netweight","relatedPart","partnumber","compatibledescription-parca","compatibledescription-list","image"
"SEAL-LIP TYPE 8C5210 - Caterpillar","[""CA8C5210"",""8C-5210"",""8C5210""]","Weight: 0.01 pounds 0 kg.","AXIAL WIDTH  7.92  mm","8C5210","[""ARTICULATED TRUCK "",""CHALLENGER "",""ENGINE - MACHINE "",""EXCAVATOR "",""GAS ENGINE "",""GEN SET ENGINE "",""GENERATOR SET "",""INDUSTRIAL ENGINE "",""LANDFILL COMPACTOR "",""LOAD HAUL DUMP "",""MARINE ENGINE "",""MOTOR GRADER "",""PIPELAYER "",""SOIL COMPACTOR "",""TRACK LOADER "",""TRACK SKIDDER "",""TRACK-TYPE TRACTOR "",""TRUCK ENGINE "",""VIBRATORY COMPACTOR "",""WHEEL DOZER "",""WHEEL LOADER "",""WHEEL SCRAPER "",""WHEEL SKIDDER "",""WHEEL TRACTOR Caterpillar""]","[[""D250E"",""D250E II"",""D25C"",""D25D"",""D300E"",""D300E II""],[""65C""],[""3304""],[""215C"",""235"",""235B"",""235C"",""235D"",""330"",""330 L"",""330B L"",""350"",""E240""],[""G3304"",""G3306""],[""3304"",""3304B"",""3306"",""3306B""],[],[""3304"",""3306"",""3306B""],[""816F""],[""R1300G""],[""3304"",""3304B"",""3306"",""3306B""],[""120G"",""12G"",""12H"",""12H ES"",""12H NA"",""130G"",""140B"",""140G"",""140H"",""140H ES"",""140H NA"",""143H"",""14G"",""14H NA"",""160G"",""160H"",""160H ES"",""160H NA"",""163H NA""],[""561D""],[""815B"",""815F""],[""963"",""973""],[""527"",""D4HTSK III"",""D5HTSK II""],[""D4E"",""D4E SR"",""D4H"",""D4H XL"",""D5E"",""D5H"",""D5H XL"",""D6D"",""D6E"",""D6E SR"",""D6G SR"",""D6H"",""D6H XL"",""D6H XR"",""D6R"",""D7G"",""D7H"",""D7R""],[""1673C"",""3306"",""3306B"",""3306C"",""G3306""],[""CB-534"",""CS-643""],[""814F""],[""936"",""936F"",""966D"",""966F"",""966F II"",""966G"",""970F"",""972G"",""G936""],[""615C"",""621E"",""627E"",""637E"",""639D""],[""515"",""518C"",""525"",""528B"",""530B""],[""627E"",""627F""]]","[""/product/8C5210.png""]"
"SEAL 7K9206 - Caterpillar","[""CA7K9206"",""7K-9206"",""7K9206""]","Weight: 0.05 pounds 0 kg.","AXIAL WIDTH  4.78  mm","7K9206","[""EXCAVATOR "",""GRAPPLE-LOG LOADING "",""INDUSTRIAL TRACTOR "",""INTEGRATED TOOLCARRIER "",""MOTOR GRADER "",""TRACK LOADER "",""TRACK-TYPE TRACTOR "",""WHEEL FELLER BUNCHER "",""WHEEL LOADER Caterpillar""]","[[""315C"",""315D L""],[""GLC85""],[""HA771"",""HA871"",""TK371"",""TK381""],[""IT12"",""IT12B"",""IT14B"",""IT14F"",""IT14G"",""IT14G2"",""IT28G""],[""16H"",""16H NA"",""16M""],[""973""],[""D3G"",""D3K XL"",""D3K2 LGP"",""D4G"",""D4K XL"",""D4K2 XL"",""D5G"",""D5K LGP"",""D5K2 XL""],[""533"",""543"",""HA770"",""HA870"",""TK370"",""TK380""],[""928H"",""980B"",""988""]]","[""/product/7K9206.png""]"
"STABILIZER-SEAL 7T4031 - Caterpillar","[""CA7T4031"",""7T-4031"",""7T4031""]","Weight: 0.01 pounds 0 kg.",,"7T4031","[""TRACK LOADER "",""TRACK-TYPE TRACTOR Caterpillar""]","[[""963"",""963B""],[""D6H"",""D6H XL"",""D6H XR""]]","[""/product/7T4031.png""]"
"RING-SEAL 8P4922 - Caterpillar","[""CA8P4922"",""8P-4922"",""8P4922""]","Weight: 0.01 pounds 0 kg.","AXIAL WIDTH  3.91  mm","8P4922","[""ARTICULATED TRUCK "",""CHALLENGER "",""PETROLEUM TRANSMISSION "",""TRACK-TYPE TRACTOR "",""TRACTOR "",""TRANSMISSION "",""TRANSMISSION-ONHIGHWAY "",""TRUCK "",""WHEEL LOADER "",""WHEEL SCRAPER "",""WHEEL TRACTOR Caterpillar""]","[[""D250D"",""D250E"",""D250E II"",""D300E"",""D300E II"",""D35HP"",""D400""],[""65"",""65C"",""65E"",""75C"",""75D"",""75E"",""85C"",""85D"",""85E"",""95E""],[""CX31-P600""],[""D9L""],[""772B""],[""CX31""],[""CX35""],[""769C"",""773B""],[""988B""],[""657E""],[""621B"",""621E"",""621F"",""623B"",""623E"",""627B"",""627E"",""631C"",""631E"",""633D"",""637D"",""637E"",""639D""]]","[""/product/8P4922.png""]"
"SPRING-DISC 7G2343 - Caterpillar","[""CA7G2343"",""7G-2343"",""7G2343""]","Weight: 0.55 pounds 0 kg.","HEIGHT  6.1  mm","7G2343","[""ARTICULATED TRUCK "",""LANDFILL COMPACTOR "",""LOAD HAUL DUMP "",""PIPELAYER "",""SOIL COMPACTOR "",""TRACK-TYPE TRACTOR "",""WHEEL DOZER "",""WHEEL LOADER "",""WHEEL SCRAPER "",""WHEEL TRACTOR Caterpillar""]","[[""D250B"",""D250E"",""D250E II"",""D25C"",""D25D"",""D300B"",""D300E"",""D300E II""],[""816F"",""816F II""],[""R1600"",""R1600G"",""R1600H"",""R1700 II"",""R1700G""],[""572R"",""572R II"",""578"",""583R"",""583T"",""587R"",""587T"",""PL83"",""PL87""],[""815B"",""815F"",""815F II""],[""30/30"",""D6H"",""D6H XL"",""D6H XR"",""D6R"",""D6R II"",""D6R III"",""D6R STD"",""D6T"",""D6T LGP"",""D6T LGPPAT"",""D6T XL"",""D7H"",""D7R"",""D7R II"",""D7R XR"",""D8N"",""D8R"",""D8R II"",""D8T"",""DEUCE""],[""814B"",""814F"",""814F II""],[""966D"",""966F"",""966F II"",""966G"",""966G II"",""970F"",""972G"",""972G II"",""972H"",""972K"",""972M"",""980C"",""980F"",""980F II"",""980G"",""980G II"",""980H"",""980K"",""980M""],[""615C""],[""611"",""615""]]","[""/product/7G2343.png""]"
"WASHER 7K1839 - Caterpillar","[""CA7K1839"",""7K-1839"",""7K1839""]","Weight: 0.08 pounds 0 kg.",,"7K1839","[""SOIL COMPACTOR "",""WHEEL DOZER "",""WHEEL LOADER "",""WHEEL SKIDDER "",""WHEEL TRACTOR Caterpillar""]","[[""815""],[""814""],[""950"",""950B"",""950B/950E"",""966C""],[""518"",""528""],[""613"",""613B""]]","[""/product/7K1839.png""]"
"SPACER 4C1335 - Caterpillar","[""CA4C1335"",""4C-1335"",""4C1335""]","Weight: 0.30 pounds 0 kg.","4C1335  WASHER-FDR-YM  3994425  CL","4C1335","[""LOAD HAUL DUMP "",""UNDERGROUND ART TRUCK "",""WHEEL DOZER "",""WHEEL LOADER Caterpillar""]","[[""R1700 II""],[""AD40"",""AE40""],[""824C""],[""980C"",""980F"",""980F II""]]","[""/product/4C1335.png"",""/product/4C1335_1.png"",""/product/4C1335_2.png""]"
"BOOT 8R1390 - Caterpillar","[""CA8R1390"",""8R-1390"",""8R1390""]","Weight: 0.05 pounds 0 kg.",,"8R1390","[""EXCAVATOR "",""FRONT SHOVEL "",""LOGGER Caterpillar""]","[[""215D"",""229"",""235B"",""235C"",""350 L""],[""5080""],[""227""]]","[""/product/8R1390.png""]"
"RING-THRUST 6T4971 - Caterpillar","[""CA6T4971"",""6T-4971"",""6T4971""]","Weight: 0.14 pounds 0 kg.",,"6T4971","[""TRACK-TYPE TRACTOR Caterpillar""]","[[""D7H"",""D7R"",""D8L"",""D8N""]]","[""/product/6T4971.png"",""/product/6T4971.png""]"
"WASHER 8K2757 - Caterpillar","[""CA8K2757"",""8K-2757"",""8K2757""]","Weight: 1 pounds 0 kg.","ID  90.475  mm","8K2757","[""EXCAVATOR "",""LOGGER "",""TRACK LOADER Caterpillar""]","[[""225D"",""229"",""229D"",""231D"",""235"",""235B"",""235C""],[""227""],[""983B""]]","[""/product/8K2757.png""]"
"CLAMP-FUEL LINE 6N5124 - Caterpillar","[""CA6N5124"",""6N-5124"",""6N5124""]","Weight: 0.03 pounds 0 kg.",,"6N5124","[""ARTICULATED TRUCK "",""COLD PLANER "",""COMPACT WHEEL LOADER "",""EXCAVATOR "",""GEN SET ENGINE "",""GENERATOR SET "",""INDUSTRIAL ENGINE "",""MARINE ENGINE "",""MOTOR GRADER "",""PETROLEUM PACKAGE "",""PIPELAYER "",""POWER MODULE "",""QUARRY TRUCK "",""TRACK LOADER "",""TRACK-TYPE TRACTOR "",""TRUCK "",""TRUCK ENGINE "",""WHEEL LOADER "",""WHEEL SCRAPER "",""WHEEL TRACTOR Caterpillar""]","[[""D250E"",""D250E II"",""D25D"",""D300E"",""D300E II""],[""PR-1000"",""PR-750B""],[""910""],[""215"",""225"",""235"",""330"",""330B L"",""350""],[""3412"",""3412C""],[],[""3304"",""3306"",""3412"",""3412C""],[""3412"",""3412C"",""3412D"",""D353C""],[""120B"",""120G"",""12G"",""140G""],[""TH35-C13T"",""TH35-C15T""],[""594H""],[""PM3412""],[""775B""],[""931B"",""941"",""955L"",""973"",""973C"",""977K""],[""D10N"",""D4D"",""D5B"",""D6D"",""D7F"",""D9H""],[""773B""],[""1673C"",""3306C"",""C13"",""C15""],[""920"",""930"",""950"",""966C"",""966F II"",""990"",""992D""],[""637D""],[""627B"",""651E"",""657E""]]","[""/product/6N5124.png"",""/product/6N5124_1.png""]"
"DISC-THRUST 7T3137 - Caterpillar","[""CA7T3137"",""7T-3137"",""7T3137""]","Weight: 0.01 pounds 0 kg.",,"7T3137","[""CHALLENGER "",""MOTOR GRADER "",""SOIL COMPACTOR "",""TRACK LOADER "",""TRACK SKIDDER "",""TRACK-TYPE TRACTOR "",""TRUCK "",""WHEEL DOZER "",""WHEEL LOADER "",""WHEEL SKIDDER "",""WHEEL TRACTOR Caterpillar""]","[[""65""],[""120G"",""12G"",""130G"",""140G""],[""815B""],[""955L""],[""D5HTSK II""],[""D5H"",""D6H"",""D7H"",""D8N""],[""773B""],[""814B""],[""936"",""936F"",""950B"",""950B/950E"",""950F"",""960F"",""966C"",""966D"",""966F"",""980C"",""980F"",""G936""],[""528""],[""613C""]]","[""/product/7T3137.png""]"
"MOUNT AS 4W2357 - Caterpillar","[""CA4W2357"",""4W-2357"",""4W2357""]","Weight: 0.05 pounds 0 kg.","4W2357  MOUNT AS-YM  3864927  CL","4W2357","[""INTEGRATED TOOLCARRIER "",""LANDFILL COMPACTOR "",""SOIL COMPACTOR "",""TRACK SKIDDER "",""TRACK-TYPE TRACTOR "",""WHEEL DOZER "",""WHEEL LOADER Caterpillar""]","[[""IT28B"",""IT28F"",""IT38F""],[""816F""],[""815F""],[""D4HTSK II"",""D5HTSK II""],[""D10N"",""D4H"",""D5H"",""D6H"",""D6H XL"",""D6H XR"",""D6M"",""D6R"",""D7R"",""D8L"",""D9N""],[""814F""],[""916"",""926"",""928F"",""936"",""936F"",""938F"",""950F"",""950F II"",""960F"",""966F"",""966F II"",""970F"",""994""]]","[""/product/4W2357.png"",""/product/4W2357_1.png""]"
"SEAL WASHER 7K2018 - Caterpillar","[""CA7K2018"",""7K-2018"",""7K2018""]","Weight: 0.03 pounds 0 kg.","HEIGHT  2.388  mm","7K2018","[""COLD PLANER "",""EXCAVATOR "",""MOBILE HYD POWER UNIT "",""TRACK LOADER "",""TRACK SKIDDER "",""TRACK-TYPE TRACTOR Caterpillar""]","[[""PM-201"",""PM-565"",""PM-565B"",""PR-1000""],[""215"",""225""],[""323D LN""],[""941""],[""D4HTSK II"",""D4HTSK III""],[""D4D"",""D4E"",""D4E SR"",""D4H""]]","[""/product/7K2018.png""]"
"SEAL-VALVE COVER 2720757 - Caterpillar","[""CA2720757"",""272-0757"",""2720757""]","Weight: 0.07 pounds 0 kg.",,"272-0757","[""GAS ENGINE "",""GEN SET ENGINE "",""GENERATOR SET "",""INDUSTRIAL ENGINE "",""LOCOMOTIVE ENGINE "",""MARINE AUXILIARY "",""MARINE ENGINE "",""PETROLEUM ENGINE "",""POWER MODULE "",""TRUCK "",""VEHICULAR ENGINE "",""WHEEL LOADER Caterpillar""]","[[""G3508"",""G3508B"",""G3512"",""G3512B"",""G3516"",""G3516B"",""G3520B""],[""3508"",""3512"",""3516"",""G3508"",""G3512"",""G3516"",""G3516B"",""G3520B""],[""3508"",""3508C"",""3512"",""3516"",""3516B"",""3516C"",""G3508"",""G3512"",""G3516"",""G3516B"",""G3520B""],[""3508"",""3512"",""3516""],[""3508"",""3512"",""3516""],[""3508B"",""3512"",""3512B"",""3512C"",""3516B""],[""3508"",""3508B"",""3512"",""3512B"",""3512C"",""3516"",""3516B""],[""3512"",""3512B""],[""PM3512"",""PM3516"",""PMG3516""],[""785"",""789B"",""789C"",""793""],[""3508"",""3512"",""3516""],[""994"",""994D""]]","[""/product/272-0757.png"",""/product/272-0757.png""]"
"RING-SEAL 9G2991 - Caterpillar","[""CA9G2991"",""9G-2991"",""9G2991""]","Weight: 0.01 pounds 0 kg.","AXIAL WIDTH  3.91  mm","9G2991","[""ARTICULATED TRUCK "",""LANDFILL COMPACTOR "",""MOTOR GRADER "",""TRACK LOADER "",""TRACK-TYPE TRACTOR "",""TRUCK "",""WHEEL DOZER "",""WHEEL LOADER "",""WHEEL SCRAPER "",""WHEEL TRACTOR Caterpillar""]","[[""D400"",""D44B"",""D550B""],[""826C""],[""120H"",""120H ES"",""120H NA"",""120K"",""120K 2"",""12H"",""12H ES"",""12H NA"",""12K"",""135H"",""135H NA"",""140H"",""140H ES"",""140H NA"",""140K"",""140K 2"",""143H"",""160H"",""160H ES"",""160H NA"",""160K"",""163H"",""163H NA""],[""983B""],[""D10R"",""D10T"",""D10T2"",""D11N"",""D11R"",""D4H"",""D5H"",""D9L""],[""777"",""777B""],[""824C"",""834B""],[""980C"",""988B"",""992"",""992C""],[""637D""],[""641B""]]","[""/product/9G2991.png""]"
"FRAME AS 8I6296 - Caterpillar","[""CA8I6296"",""8I-6296"",""8I6296""]","Weight: 0.39 pounds 0 kg.",,"8I-6296","[""TELEHANDLER Caterpillar""]","[[""TH62""]]","[""/product/8I-6296.png""]"
"SEAL 5D3336 - Caterpillar","[""CA5D3336"",""5D-3336"",""5D3336""]","Weight: 0.010 pounds 0 kg.","BORE DIAMETER  0  mm","5D3336","[""TRUCK Caterpillar""]","[[""769""]]","[""/product/5D3336.png"",""/product/5D3336.png""]"
"SEAL-D-RING 4D5497 - Caterpillar","[""CA4D5497"",""4D-5497"",""4D5497""]","Weight: 0.05 pounds 0 kg.","BORE DIAMETER  0  mm","4D5497","[""MOTOR GRADER Caterpillar""]","[[""12G"",""12H"",""12H ES"",""12H NA"",""12K"",""130G"",""140G"",""140H"",""140H ES"",""140H NA"",""140K"",""140K 2"",""143H"",""16"",""160G"",""160H"",""160H ES"",""160H NA"",""160K"",""163H"",""163H NA""]]","[""/product/4D5497.png"",""/product/4D5497.png""]"
"SEAL-LIP TYPE 7K9205 - Caterpillar","[""CA7K9205"",""7K-9205"",""7K9205""]","Weight: 0.05 pounds 0 kg.","AXIAL WIDTH  7.92  mm","7K9205","[""BACKHOE LOADER "",""CHALLENGER "",""COMPACT WHEEL LOADER "",""EXCAVATOR "",""GRAPPLE-LOG LOADING "",""INTEGRATED TOOLCARRIER "",""MOTOR GRADER "",""TRACK LOADER "",""TRACK SKIDDER "",""TRACK-TYPE TRACTOR "",""WHEEL LOADER "",""WHEEL SKIDDER Caterpillar""]","[[""422E"",""424B"",""424B HD"",""424D"",""428"",""428B"",""428C"",""428D"",""428E"",""432D"",""432E"",""434E"",""438"",""438B"",""438C"",""438D"",""442D"",""442E"",""444E""],[""65"",""65C"",""75""],[""914G""],[""215"",""225"",""322B L"",""322C FM"",""324D FM LL"",""325B L"",""325D FM"",""325D FM LL"",""330B L"",""330D FM"",""568 FM LL""],[""GH52"",""GLC85"",""GLL60""],[""IT14G2"",""IT18"",""IT18B"",""IT28G"",""IT38F"",""IT38G"",""IT38G II"",""IT38H"",""IT62G"",""IT62G II"",""IT62H""],[""120M"",""120M 2"",""12M"",""12M 2"",""12M 3"",""12M 3 AWD"",""140M"",""140M 2"",""140M 3"",""140M 3 AWD"",""14G"",""160M"",""160M 2"",""160M 3"",""160M 3 AWD"",""24H"",""24M""],[""941"",""943"",""951B"",""953"",""953C"",""953D"",""963"",""973"",""973C"",""973D"",""977K"",""977L"",""983""],[""517"",""527"",""D4HTSK II"",""D4HTSK III"",""D5HTSK II""],[""D4H"",""D4H XL"",""D5H"",""D5H XL"",""D5M"",""D5N"",""D5R LGP"",""D6H"",""D6H II"",""D6H XL"",""D6H XR"",""D6M"",""D6N"",""D6N LGP"",""D6N OEM"",""D6R"",""D6R II"",""D6R STD"",""D6T"",""D6T LGP"",""D6T LGPPAT""],[""916"",""918F"",""920"",""924F"",""924G"",""924GZ"",""924H"",""924HZ"",""926"",""926A"",""928F"",""928G"",""928H"",""928HZ"",""930"",""930K"",""936"",""936F"",""938F"",""938G"",""938G II"",""938H"",""950"",""950 GC"",""950B"",""950B/950E"",""950F"",""950F II"",""950G"",""950G II"",""950H"",""950K"",""960F"",""962G"",""962G II"",""962H"",""962K"",""966C"",""966D"",""966F"",""966F II"",""966G"",""966G II"",""966H"",""966K"",""966M"",""966M XE"",""966R"",""970F"",""972G"",""972G II"",""972H"",""972K"",""972M"",""972M XE"",""980B"",""988"",""G936""],[""518"",""530B"",""535B"",""545""]]","[""/product/7K9205.png""]"
"SEAL 9D1416 - Caterpillar","[""CA9D1416"",""9D-1416"",""9D1416""]","Weight: 0.05 pounds 0 kg.","BORE DIAMETER  0  mm","9D1416","[""WHEEL TRACTOR Caterpillar""]","[[""637D""]]","[""/product/9D1416.png""]"
"GASKET 9H2770 - Caterpillar","[""CA9H2770"",""9H-2770"",""9H2770""]","Weight: 0.01 pounds 0 kg.","ID  35.719  mm","9H2770","[""MOTOR GRADER "",""TRACK LOADER "",""TRACK-TYPE TRACTOR "",""WHEEL LOADER "",""WHEEL TRACTOR Caterpillar""]","[[""12E""],[""941"",""951B"",""977H""],[""D4D"",""D5"",""D6C"",""D6D"",""D7F""],[""950"",""966C""],[""621R""]]","[""/product/9H2770.png""]"
"RING-SEAL 6T0248 - Caterpillar","[""CA6T0248"",""6T-0248"",""6T0248""]","Weight: 0.02 pounds 0 kg.","AXIAL WIDTH  3.91  mm","6T0248","[""ARTICULATED TRUCK "",""EJECTOR TRUCK "",""PETROLEUM ENGINE "",""PETROLEUM PACKAGE "",""PETROLEUM TRANSMISSION "",""PIPELAYER "",""TRACK-TYPE TRACTOR Caterpillar""]","[[""725"",""725C"",""730"",""735""],[""730""],[""C9""],[""TH35-C11I"",""TH35-C13I"",""TH35-C13T"",""TH35-C15I"",""TH35-C15T""],[""TH31-E61"",""TH35-E81""],[""578"",""589""],[""D10N"",""D6H"",""D6H XL"",""D7H"",""D8L"",""D9L"",""D9N"",""D9R""]]","[""/product/6T0248.png"",""/product/6T0248.png""]"
"GASKET 6P9609 - Caterpillar","[""CA6P9609"",""6P-9609"",""6P9609""]","Weight: 0.01 pounds 0 kg.",,"6P9609","[""TRACK-TYPE TRACTOR Caterpillar""]","[[""D6C"",""D6D"",""D6E"",""D6E SR"",""D6F SR"",""D6G"",""D6G SR"",""D6G2 LGP"",""D6G2 XL""]]","[""/product/6P9609.png"",""/product/6P9609_1.png""]"
"SEAL-LIP TYPE 7X4803 - Caterpillar","[""CA7X4803"",""7X-4803"",""7X4803""]","Weight: 0.010 pounds 0 kg.","AXIAL WIDTH  8  mm","7X4803","[""EXCAVATOR "",""FRONT SHOVEL "",""GRAPPLE-CLAMSHELL "",""GRAPPLE-ORANGE PEEL "",""LOGGER "",""MOBILE HYD POWER UNIT "",""PULVERIZER "",""SHEAR-DEMOLITION/SCRAP "",""SHEAR-MECHANICAL "",""SHEAR-STRAIGHT "",""TRACK FELLER BUNCHER "",""TRACK LOADER "",""WHEEL DOZER "",""WHEEL LOADER "",""WHEELED EXCAVATOR Caterpillar""]","[[""231D"",""315"",""315B"",""315B L"",""315C"",""315D L"",""317"",""317B LN"",""318B"",""318C"",""319C"",""319D"",""319D L"",""319D LN"",""320"",""320 L"",""320B"",""320B FM LL"",""320B L"",""320B U"",""320C"",""320C FM"",""320D"",""320E LN"",""320N"",""321D LCR"",""322"",""322 FM L"",""322 L"",""322 LN"",""322B"",""322B L"",""322B LN"",""322C"",""322C FM"",""323D L"",""323D LN"",""323D SA"",""323E L"",""324D"",""324D FM"",""324D FM LL"",""324D L"",""324D LN"",""324E"",""324E L"",""324E LN"",""325"",""325 L"",""325 LN"",""325B"",""325B L"",""325C"",""325C FM"",""325C L"",""325D"",""325D FM"",""325D FM LL"",""325D L"",""325D MH"",""326D L"",""328D LCR"",""329D LN"",""330"",""330 FM L"",""330 L"",""330B"",""330B L"",""330C"",""330C FM"",""330C L"",""330C MH"",""330D"",""330D FM"",""330D L"",""330D LN"",""330D MH"",""336D"",""336D L"",""336D LN"",""336D2"",""336D2 L"",""336E"",""336E H"",""336E L"",""336E LH"",""336E LN"",""336F L"",""340D L"",""340D2 L"",""345B"",""345B II"",""345B II MH"",""345B L"",""345C"",""345C L"",""345D"",""345D L"",""345D L VG"",""349D"",""349D L"",""349E"",""349E L"",""349E L VG"",""349F L"",""350"",""350 L"",""365B"",""365B II"",""365B L"",""365C"",""385B"",""385C"",""385C FS"",""385C L"",""390D"",""390D L"",""390F L"",""568 FM LL"",""M325D L MH"",""M325D MH""],[""385C"",""5080"",""5090B""],[""CTV40""],[""GSH15-60"",""GSH22B"",""GSH9""],[""322C""],[""324D LN"",""325D"",""330C"",""330D"",""330D L"",""336D L"",""385C""],[""P115"",""VPC-30""],[""S305"",""S365B"",""VHS-50""],[""S115"",""VPS-35""],[""S465""],[""1190T"",""1290T"",""1390"",""2391"",""2491"",""2590"",""522"",""522B"",""532"",""541"",""541 2"",""551"",""552"",""552 2"",""TK1051"",""TK722"",""TK732"",""TK741"",""TK751"",""TK752""],[""973D""],[""844"",""844H"",""844K"",""854G"",""854K""],[""990"",""990 II"",""990H"",""990K"",""992G"",""992K""],[""M312"",""M313C"",""M313D"",""M315"",""M315C"",""M315D"",""M315D2"",""M316C"",""M316D"",""M317D2"",""M318"",""M318C"",""M318C MH"",""M318D"",""M318D MH"",""M320"",""M322C"",""M322D"",""M322D MH"",""M325B"",""M325C MH"",""M330D"",""W330B"",""W345B II""]]","[""/product/7X4803.png""]"
"RING-SEAL 7G2830 - Caterpillar","[""CA7G2830"",""7G-2830"",""7G2830""]","Weight: 0.05 pounds 0 kg.","AXIAL WIDTH  3.91  mm","7G2830","[""ARTICULATED TRUCK "",""LANDFILL COMPACTOR "",""LOAD HAUL DUMP "",""PIPELAYER "",""SOIL COMPACTOR "",""TRACK LOADER "",""TRACK-TYPE TRACTOR "",""WHEEL DOZER "",""WHEEL LOADER "",""WHEEL SCRAPER "",""WHEEL SKIDDER "",""WHEEL TRACTOR Caterpillar""]","[[""D250B"",""D250E"",""D250E II"",""D25C"",""D25D"",""D300B"",""D300E"",""D300E II""],[""816F"",""816F II""],[""R1600"",""R1600G"",""R1600H"",""R1700 II"",""R1700G""],[""572R"",""572R II"",""578"",""583R"",""583T"",""587R"",""587T"",""PL83"",""PL87""],[""815B"",""815F"",""815F II""],[""951B""],[""30/30"",""D4E"",""D6F SR"",""D6G SR"",""D6H"",""D6H XL"",""D6H XR"",""D6R"",""D6R II"",""D6R III"",""D6R STD"",""D6T"",""D6T LGP"",""D6T LGPPAT"",""D6T XL"",""D7H"",""D7R"",""D7R II"",""D7R XR"",""D8N"",""D8R"",""D8R II"",""D8T"",""DEUCE""],[""814B"",""814F"",""814F II""],[""920"",""930"",""966D"",""966F"",""966F II"",""966G"",""966G II"",""970F"",""972G"",""972G II"",""972H"",""972K"",""972M"",""980C"",""980F"",""980F II"",""980G"",""980G II"",""980H"",""980K"",""980M""],[""615C""],[""518"",""518C"",""528"",""528B"",""530B""],[""611"",""615""]]","[""/product/7G2830.png""]"
"SEAL ASSEM. 7P2549 - Caterpillar","[""CA7P2549"",""7P-2549"",""7P2549""]","Weight: 0.30 pounds 0 kg.",,"7P2549","[""TRACK LOADER Caterpillar""]","[[""943""]]","[""/product/7P2549.png""]"
"SEAL 7K9220 - Caterpillar","[""CA7K9220"",""7K-9220"",""7K9220""]","Weight: 0.20 pounds 0 kg.","AXIAL WIDTH  7.92  mm","7K9220","[""EXCAVATOR "",""LOAD HAUL DUMP "",""MINING EXCAVATOR "",""TRACK LOADER "",""WHEEL LOADER Caterpillar""]","[[""225"",""235"",""235B"",""235C"",""235D"",""245"",""245D""],[""R1300"",""R1300G"",""R1300G II"",""R1600"",""R1600G"",""R1600H"",""R1700 II"",""R1700G"",""R2900"",""R2900G"",""R3000H""],[""5230"",""5230B""],[""977K""],[""966D"",""966F II"",""966G"",""966G II"",""966H"",""966K"",""966M"",""966M XE"",""970F"",""972G"",""972G II"",""972H"",""972K"",""972M"",""972M XE"",""980C"",""980F"",""980F II"",""980G"",""980G II"",""980H"",""980K"",""980K HLG"",""980M"",""982M"",""986H"",""992"",""992C"",""992D""]]","[""/product/7K9220.png""]"
"WASHER-THRUST 6W8277 - Caterpillar","[""CA6W8277"",""6W-8277"",""6W8277""]","Weight: 0.35 pounds 0 kg.",,"6W8277","[""ARTICULATED TRUCK "",""SOIL COMPACTOR "",""WHEEL DOZER "",""WHEEL LOADER "",""WHEEL SCRAPER "",""WHEEL TRACTOR Caterpillar""]","[[""D25C"",""D30C"",""D350C"",""D35C"",""D35HP"",""D400""],[""815B""],[""814B""],[""950B"",""966D"",""966F"",""966F II"",""970F""],[""615C""],[""615""]]","[""/product/6W8277.png"",""/product/6W8277.png""]"
"SPRING ASSEM. 4F5003 - Caterpillar","[""CA4F5003"",""4F-5003"",""4F5003""]","Weight: 1 pounds 0 kg.","4F5003  SPRING AS-ARM-YM  3832127  CL","4F5003","[""PIPELAYER "",""TRACK LOADER "",""TRACK-TYPE TRACTOR Caterpillar""]","[[""571G"",""572G"",""583K"",""594"",""594H""],[""977D"",""977H"",""977K"",""977L"",""983"",""983B""],[""D7F"",""D7G"",""D7G2"",""D8H"",""D8K"",""D9E"",""D9G"",""D9H""]]","[""/product/4F5003.png"",""/product/4F5003_1.png""]"
"PLATE 8W1749 - Caterpillar","[""CA8W1749"",""8W-1749"",""8W1749""]","Weight: 0.43 pounds 0 kg.","8W1749  PLATE-YM  3807403  CL","8W1749","[""MOTOR GRADER Caterpillar""]","[[""120G"",""120H"",""120H ES"",""120H NA"",""120K"",""120K 2"",""12G"",""12H"",""12H ES"",""12H NA"",""12K"",""130G"",""135H"",""135H NA"",""140G"",""140H"",""140H ES"",""140H NA"",""140K"",""140K 2"",""143H"",""160G"",""160H"",""160H ES"",""160H NA"",""160K"",""163H"",""163H NA""]]","[""/product/8W1749.png""]"
"STABILIZER-SEAL 6T5247 - Caterpillar","[""CA6T5247"",""6T-5247"",""6T5247""]","Weight: 0.03 pounds 0 kg.",,"6T5247","[""PIPELAYER "",""TRACK-TYPE TRACTOR Caterpillar""]","[[""578"",""583R"",""583T"",""587R"",""587T"",""589"",""PL83"",""PL87""],[""D10N"",""D10R"",""D8L"",""D8N"",""D8R"",""D9L"",""D9N"",""D9R""]]","[""/product/6T5247.png"",""/product/6T5247.png""]"
