"name","code","netweight","relatedPart","partnumber","compatibledescription"
"PAD 1931681 - Caterpillar","[""CA1931681"",""193-1681"",""1931681""]","Weight: 0.09 pounds 0 kg.",,"193-1681","[{""parca"":""BACKHOE LOADER Caterpillar"",""list"":[""422E"",""422F"",""424D"",""428C"",""428D"",""428E"",""428F"",""432D"",""432E"",""432F"",""434E"",""434F"",""438C"",""438D"",""442D"",""442E"",""444E"",""444F""]}]"
"ROTOCOIL AS 1862001 - Caterpillar","[""CA1862001"",""186-2001"",""1862001""]","Weight: 0.09 pounds 0 kg.","1862001  ROTOCOIL-AS-YM  3975055  CL","186-2001","[{""parca"":""ARTICULATED TRUCK "",""list"":[""735"",""735B"",""740"",""740B"",""D350E II"",""D400E II""]},{""parca"":""CHALLENGER "",""list"":[""MTC835""]},{""parca"":""COLD PLANER "",""list"":[""PM-200"",""PM-201""]},{""parca"":""EJECTOR TRUCK "",""list"":[""740"",""740B"",""D400E II""]},{""parca"":""EXCAVATOR "",""list"":[""365C"",""365C L"",""365C L MH"",""374D L"",""374F L"",""385B"",""385C"",""385C FS"",""385C L"",""385C L MH"",""390D"",""390D L"",""390F L""]},{""parca"":""FRONT SHOVEL "",""list"":[""385C"",""5090B""]},{""parca"":""GEN SET ENGINE "",""list"":[""3406E"",""3456""]},{""parca"":""GENERATOR SET "",""list"":[""3406E"",""3456"",""C15"",""C15 I6"",""C18"",""C18 I6"",""C27"",""C32""]},{""parca"":""INDUSTRIAL ENGINE "",""list"":[""3406E"",""3456"",""C-15"",""C-16"",""C15"",""C18"",""C27"",""C32""]},{""parca"":""LANDFILL COMPACTOR "",""list"":[""826G II"",""826H"",""826K"",""836G"",""836H""]},{""parca"":""LOAD HAUL DUMP "",""list"":[""R2900"",""R2900G"",""R3000H""]},{""parca"":""MARINE AUXILIARY "",""list"":[""C32""]},{""parca"":""MARINE ENGINE "",""list"":[""3406E"",""C15"",""C18"",""C32""]},{""parca"":""MOBILE HYD POWER UNIT "",""list"":[""365C L"",""385C"",""385C L""]},{""parca"":""MOTOR GRADER "",""list"":[""24M""]},{""parca"":""PETROLEUM ENGINE "",""list"":[""C-15"",""C15"",""C18"",""C27"",""C32""]},{""parca"":""PETROLEUM GEN SET "",""list"":[""C15"",""C18"",""C27"",""C32""]},{""parca"":""PETROLEUM PACKAGE "",""list"":[""CX31-C15I"",""CX31-C18I"",""CX35-C18I"",""TH35-C15I"",""TH35-C15T""]},{""parca"":""PETROLEUM TRANSMISSION "",""list"":[""TH48-E70""]},{""parca"":""PIPELAYER "",""list"":[""583T"",""587T"",""PL83"",""PL87""]},{""parca"":""POWER MODULE "",""list"":[""C18"",""C32"",""PM3456""]},{""parca"":""RECLAIMER MIXER "",""list"":[""RM-500""]},{""parca"":""SOIL COMPACTOR "",""list"":[""825G II"",""825H"",""825K""]},{""parca"":""TRACK-TYPE TRACTOR "",""list"":[""D10N"",""D10R"",""D10T"",""D10T2"",""D11R"",""D11T"",""D8R"",""D8R II"",""D8T"",""D9T""]},{""parca"":""TRUCK "",""list"":[""770"",""770G"",""770G OEM"",""772"",""772G"",""772G OEM"",""773F"",""773G"",""773G LRC"",""773G OEM"",""775F"",""775G"",""775G LRC"",""775G OEM"",""777C"",""777D"",""777F"",""777G""]},{""parca"":""TRUCK ENGINE "",""list"":[""3406E"",""C-15"",""C-16"",""C-18"",""C15"",""C16"",""C18""]},{""parca"":""UNDERGROUND ART TRUCK "",""list"":[""AD30"",""AD45B"",""AD55"",""AD55B"",""AD60""]},{""parca"":""WHEEL DOZER "",""list"":[""824C"",""824G"",""824G II"",""824H"",""824K"",""834G"",""834H"",""834K"",""844H"",""844K"",""854K""]},{""parca"":""WHEEL LOADER "",""list"":[""980G"",""980G II"",""980H"",""986H"",""988G"",""988H"",""988K"",""990H"",""990K"",""992K"",""993K""]},{""parca"":""WHEEL SCRAPER "",""list"":[""631G"",""657B"",""657E"",""657G""]},{""parca"":""WHEEL TRACTOR Caterpillar"",""list"":[""621B"",""621G"",""623G"",""627F"",""627G"",""631D"",""631E"",""631G"",""633E II"",""637D"",""637E"",""637G"",""651B"",""657E"",""657G""]}]"
"RETAINER-G.E.T. 2209110 - Caterpillar","[""CA2209110"",""220-9110"",""2209110""]","Weight: 0.50 pounds 0 kg.",,"220-9110","[{""parca"":""EXCAVATOR "",""list"":[""322C"",""324D"",""324D L"",""324D LN"",""325C"",""325D"",""325D L"",""330C"",""330C L"",""330D L"",""330D LN"",""345B II"",""345C"",""345C L"",""345D L""]},{""parca"":""WHEEL LOADER Caterpillar"",""list"":[""980G II"",""980H"",""980M"",""988G"",""988H""]}]"
"SEAL-BRAKE 2204336 - Caterpillar","[""CA2204336"",""220-4336"",""2204336""]",,,"220-4336","[{""parca"":""INTEGRATED TOOLCARRIER "",""list"":[""IT38H""]},{""parca"":""MOTOR GRADER "",""list"":[""120M"",""120M 2"",""12M"",""12M 2"",""140M"",""140M 2"",""14M"",""160M"",""160M 2"",""16M""]},{""parca"":""WHEEL LOADER Caterpillar"",""list"":[""938H""]}]"
"SEAL AS 2227007 - Caterpillar","[""CA2227007"",""222-7007"",""2227007""]","Weight: 0.07 pounds 0 kg.",,"222-7007","[{""parca"":""MINING EXCAVATOR "",""list"":[""5130"",""5130B""]},{""parca"":""TRACK-TYPE TRACTOR Caterpillar"",""list"":[""D11N"",""D11R"",""D11T""]}]"
"SEAL-D-RING 1437560 - Caterpillar","[""CA1437560"",""143-7560"",""1437560""]","Weight: 0.010 pounds 0 kg.","BORE DIAMETER  0  mm","143-7560","[{""parca"":""LOAD HAUL DUMP Caterpillar"",""list"":[""R1600"",""R1600G""]}]"
"SEAL-RECTANGULAR 1P3703 - Caterpillar","[""CA1P3703"",""1P-3703"",""1P3703""]","Weight: 0.01 pounds 0 kg.","AXIAL WIDTH  4.95  mm","1P-3703","[{""parca"":""ARTICULATED TRUCK "",""list"":[""725"",""730"",""735B"",""740B""]},{""parca"":""ASPHALT PAVER "",""list"":[""AP-1000"",""AP-1055D"",""AP-1055E"",""AP-555E"",""AP-600D"",""AP-655C"",""AP-655D"",""AP-800C"",""AP-800D"",""BG-225B"",""BG-2455D"",""BG-260D"",""BG1055E"",""BG500E"",""BG600D"",""BG655D""]},{""parca"":""BACKHOE LOADER "",""list"":[""416"",""416C"",""416D"",""420D"",""424D"",""426"",""426C"",""428C"",""428D"",""430D"",""432D"",""436"",""436C"",""438C"",""438D"",""442D"",""446"",""446B"",""446D""]},{""parca"":""CHALLENGER "",""list"":[""35"",""45"",""55"",""65"",""65C"",""65E"",""70C"",""75"",""75C"",""75D"",""75E"",""85C"",""85D"",""85E"",""95E""]},{""parca"":""COLD PLANER "",""list"":[""PM-201"",""PM-465""]},{""parca"":""COMPACT TRACK LOADER "",""list"":[""279C"",""289C"",""299C""]},{""parca"":""COMPACT WHEEL LOADER "",""list"":[""902"",""906"",""906H"",""906H2"",""907H"",""907H2"",""908"",""908H"",""908H2"",""910G"",""910K"",""914G"",""914K""]},{""parca"":""EJECTOR TRUCK "",""list"":[""740B""]},{""parca"":""EXCAVATOR "",""list"":[""215"",""215B"",""215C"",""215D"",""219D"",""225"",""225D"",""229"",""229D"",""231D"",""235"",""235B"",""235C"",""235D"",""245"",""245B"",""245D"",""307"",""311"",""311B"",""311C"",""311D LRR"",""311F LRR"",""312"",""312B"",""312B L"",""312C"",""312C L"",""312D"",""312D L"",""312D2"",""312D2 GC"",""312E"",""312E L"",""313B"",""313D2"",""313D2 LGP"",""314C"",""314D CR"",""314D LCR"",""314E CR"",""314E LCR"",""315"",""315B"",""315B L"",""315C"",""315D L"",""316E L"",""317"",""317B LN"",""318B"",""318C"",""318D L"",""318D2 L"",""318E L"",""319C"",""319D"",""319D L"",""319D LN"",""320B"",""320B FM LL"",""320C"",""320C FM"",""320C L"",""320D"",""320D FM"",""320D FM RR"",""320D GC"",""320D L"",""320D LN"",""320D LRR"",""320D RR"",""320E L"",""320E LN"",""320E LRR"",""321C"",""321D LCR"",""322B L"",""322B LN"",""322C"",""322C FM"",""323D L"",""323D LN"",""323D SA"",""324D"",""324D FM"",""324D FM LL"",""324D L"",""324D LN"",""324E L"",""324E LN"",""568 FM LL""]},{""parca"":""FELLING HEAD "",""list"":[""HF181"",""HF201"",""HF221""]},{""parca"":""FORWARDER "",""list"":[""554"",""564"",""574"",""574B""]},{""parca"":""FRONT SHOVEL "",""list"":[""5080"",""5090B""]},{""parca"":""INDUSTRIAL TRACTOR "",""list"":[""HA771"",""HA871"",""TK371"",""TK381""]},{""parca"":""INTEGRATED TOOLCARRIER "",""list"":[""IT14G"",""IT14G2"",""IT18"",""IT18B"",""IT18F"",""IT24F"",""IT28"",""IT28B"",""IT28F"",""IT28G"",""IT38F"",""IT38G"",""IT38G II"",""IT38H"",""IT62G"",""IT62G II"",""IT62H""]},{""parca"":""KNUCKLEBOOM LOADER "",""list"":[""2384C"",""2484C"",""539"",""559C"",""579C""]},{""parca"":""LOAD HAUL DUMP "",""list"":[""R1300"",""R1300G"",""R1300G II""]},{""parca"":""LOGGER "",""list"":[""322C""]},{""parca"":""MINI HYD EXCAVATOR "",""list"":[""307"",""307B"",""307C""]},{""parca"":""MINING EXCAVATOR "",""list"":[""5110B"",""5130"",""5130B"",""5230B""]},{""parca"":""MULTI TERRAIN LOADER "",""list"":[""267B"",""277C"",""287C"",""297C""]},{""parca"":""PETROLEUM PACKAGE "",""list"":[""CX35-P800"",""TH35-C15I""]},{""parca"":""PIPELAYER "",""list"":[""572R"",""572R II"",""583R"",""589"",""PL61"",""PL87""]},{""parca"":""PNEUMATIC COMPACTOR "",""list"":[""CW-34"",""PS-360C""]},{""parca"":""RECLAIMER MIXER "",""list"":[""RM-250C"",""RM-300"",""RM-350B"",""RM-500""]},{""parca"":""RIPPER "",""list"":[""8D"",""977""]},{""parca"":""ROAD RECLAIMER "",""list"":[""RM-350B"",""RR-250B""]},{""parca"":""SHOVEL LOGGER "",""list"":[""345C""]},{""parca"":""SITE PREP TRACTOR "",""list"":[""2864C"",""586C""]},{""parca"":""SKID STEER LOADER "",""list"":[""246C"",""256C"",""262C"",""268B"",""272C""]},{""parca"":""STABILIZER MIXER "",""list"":[""SM-350""]},{""parca"":""TRACK FELLER BUNCHER "",""list"":[""1090"",""1190"",""1190T"",""1290T"",""1390"",""2290"",""2390"",""2391"",""2491"",""2590"",""511"",""521"",""521B"",""522"",""522B"",""532"",""541"",""541 2"",""551"",""552"",""552 2"",""TK1051"",""TK711"",""TK721"",""TK722"",""TK732"",""TK741"",""TK751"",""TK752""]},{""parca"":""TRACK LOADER "",""list"":[""933C"",""939C"",""941"",""943"",""951B"",""953"",""953B"",""953C"",""953D"",""955K"",""955L"",""963"",""963B"",""963C"",""963D"",""973"",""973C"",""973D"",""977K"",""977L"",""983""]},{""parca"":""TRACK-TYPE TRACTOR "",""list"":[""30/30"",""D3B"",""D3C III"",""D3G"",""D3K XL"",""D3K2 LGP"",""D4C III"",""D4D"",""D4E"",""D4G"",""D4K XL"",""D4K2 XL"",""D5B"",""D5C III"",""D5E"",""D5G"",""D5H"",""D5H XL"",""D5K LGP"",""D5K2 XL"",""D5R LGP"",""D6D"",""D6E"",""D6E SR"",""D6H"",""D6H II"",""D6H XL"",""D6H XR"",""D6K"",""D6K LGP"",""D6K XL"",""D6K2"",""D6K2 LGP"",""D6N"",""D6N LGP"",""D6N OEM"",""D6R"",""D6R II"",""D6R III"",""D6R STD"",""D6T"",""D6T LGP"",""D6T LGPPAT"",""D6T XL"",""D7H"",""D8K"",""D8N"",""D9H"",""DEUCE""]},{""parca"":""TRUCK "",""list"":[""770"",""772"",""773G"",""773G LRC"",""773G OEM"",""775G"",""775G LRC"",""775G OEM"",""777G"",""785D"",""793"",""793B"",""793D"",""797"",""797B""]},{""parca"":""VIBRATORY COMPACTOR "",""list"":[""CB-534D"",""CB-544"",""CB-545"",""CD-54"",""CP-68B"",""CP-74B"",""CS-531C"",""CS-533C"",""CS-563C"",""CS-56B"",""CS-573C"",""CS-583C"",""CS-66B"",""CS-68B"",""CS-74B"",""CS-76B"",""CS-78B""]},{""parca"":""WHEEL FELLER BUNCHER "",""list"":[""533"",""543"",""HA770"",""HA870"",""TK370"",""TK380""]},{""parca"":""WHEEL HARVESTER "",""list"":[""550"",""550B"",""560B"",""570"",""570B"",""580"",""580B""]},{""parca"":""WHEEL LOADER "",""list"":[""916"",""918F"",""920"",""924F"",""924G"",""924GZ"",""924H"",""924HZ"",""924K"",""926"",""926A"",""928F"",""928G"",""928H"",""928HZ"",""930"",""930G"",""930K"",""930R"",""936"",""936F"",""938F"",""938G"",""938G II"",""938H"",""938K"",""950 GC"",""950B"",""950B/950E"",""950F"",""950F II"",""950G"",""950G II"",""950H"",""950K"",""960F"",""962G"",""962G II"",""962H"",""962K"",""966C"",""966D"",""966F"",""966F II"",""966H"",""966K"",""966M"",""966M XE"",""966R"",""972H"",""972K"",""972M"",""972M XE"",""980B"",""980C"",""980F"",""980F II"",""980G"",""980G II"",""980H"",""980K"",""980K HLG"",""980M"",""982M"",""986H"",""988"",""988B"",""988F"",""988F II"",""988G"",""988H"",""988K"",""990"",""990 II"",""990H"",""990K"",""992"",""992C"",""992G"",""992K"",""993K"",""994"",""994D"",""994F"",""994H"",""G926"",""G936""]},{""parca"":""WHEEL SCRAPER "",""list"":[""615"",""621B"",""621E"",""621G"",""623B"",""623E"",""623F"",""623G"",""627B"",""627E"",""627G"",""631G"",""633D"",""633E"",""637G"",""657B"",""657E"",""657G""]},{""parca"":""WHEEL SKIDDER "",""list"":[""525C"",""530B"",""535C"",""545C""]},{""parca"":""WHEEL TRACTOR "",""list"":[""621"",""621B"",""621E"",""621F"",""621G"",""621H"",""621R"",""623"",""623B"",""623G"",""623H"",""627B"",""627E"",""627F"",""627G"",""627H"",""631D"",""633D"",""637D"",""641"",""641B"",""657B""]},{""parca"":""WHEEL TRACTOR-SCRAPER "",""list"":[""613G"",""621K"",""623K"",""623K LRC"",""627K"",""627K LRC""]},{""parca"":""WHEELED EXCAVATOR "",""list"":[""M312"",""M313C"",""M313D"",""M315"",""M315C"",""M315D"",""M315D2"",""M316C"",""M316D"",""M317D2"",""M318"",""M318C"",""M318C MH"",""M318D"",""M318D MH"",""M320"",""M322C"",""M322D"",""M322D MH""]},{""parca"":""WINCH Caterpillar"",""list"":[""54""]}]"
"MOUNT AS 2358862 - Caterpillar","[""CA2358862"",""235-8862"",""2358862""]","Weight: 7 pounds 3 kg.",,"235-8862","[{""parca"":""EXCAVATOR "",""list"":[""311D LRR"",""311F LRR"",""312D"",""312D L"",""312D2"",""312D2 GC"",""312D2 L"",""313D"",""313D2"",""313D2 LGP"",""315D L"",""318D L"",""318D2 L"",""319D"",""319D L"",""320D"",""320D FM"",""320D FM RR"",""320D GC"",""320D L"",""320D LN"",""320D LRR"",""320D RR"",""320D2"",""320D2 GC"",""320D2 L"",""321D LCR"",""323D L"",""323D LN"",""323D2 L"",""324D"",""324D L"",""324D LN"",""325D"",""325D L"",""325D MH"",""326D L"",""328D LCR"",""329D"",""329D L"",""330D"",""330D L"",""330D LN"",""330D MH"",""336D"",""336D L"",""336D2"",""336D2 L"",""340D L"",""340D2 L"",""345C"",""345C L"",""345C MH"",""345D"",""345D L"",""349D"",""349D L"",""365C"",""365C L"",""365C L MH"",""374D L"",""385C"",""385C FS"",""385C L"",""385C L MH"",""390D"",""390D L""]},{""parca"":""FRONT SHOVEL "",""list"":[""385C""]},{""parca"":""KNUCKLEBOOM LOADER "",""list"":[""2384C"",""2484C"",""559C"",""579C""]},{""parca"":""MATERIAL HANDLER "",""list"":[""MH3037""]},{""parca"":""MOBILE HYD POWER UNIT "",""list"":[""323D L"",""323D LN"",""324D LN"",""325D"",""329D L"",""330D"",""330D L"",""336D L"",""345C L"",""349D L"",""365C L"",""385C"",""385C L""]},{""parca"":""SHOVEL LOGGER "",""list"":[""345C""]},{""parca"":""WHEELED EXCAVATOR Caterpillar"",""list"":[""W345C MH""]}]"
"MOUNT AS 2388564 - Caterpillar","[""CA2388564"",""238-8564"",""2388564""]","Weight: 0.56 pounds 0 kg.",,"238-8564","[{""parca"":""TRACK LOADER Caterpillar"",""list"":[""953C"",""963C""]}]"
"LOCKWASHER-BEARING 1T0242 - Caterpillar","[""CA1T0242"",""1T-0242"",""1T0242""]","Weight: 0.25 pounds 0 kg.",,"1T0242","[{""parca"":""PIPELAYER "",""list"":[""589""]},{""parca"":""TRACK-TYPE TRACTOR Caterpillar"",""list"":[""D10"",""D10N"",""D10R"",""D10T"",""D10T2"",""D11N"",""D11R"",""D11T"",""D8H"",""D8K"",""D8L"",""D9H"",""D9L"",""D9T""]}]"
"FINAL DRIVE AND WHEEL GROUP 1V4851 - Caterpillar","[""CA1V4851"",""1V-4851"",""1V4851""]","Weight: 0.80 pounds 0 kg.",,"1V4851","[{""parca"":""WHEEL LOADER Caterpillar"",""list"":[""950""]}]"
"LAMP 2400 - Case","[""2400""]",,,"2400","[{""parca"":""HEAVY EQUIPMENT Case"",""list"":[""30EC"",""30YC"",""30YM"",""35EC"",""35YC"",""40EC"",""40YC"",""50""]}]"
"SEAL-INTEGRAL 1662905 - Caterpillar","[""CA1662905"",""166-2905"",""1662905""]","Weight: 0.60 pounds 0 kg.",,"166-2905","[{""parca"":""ASPHALT PAVER "",""list"":[""AP-755""]},{""parca"":""COLD PLANER "",""list"":[""PM-102""]},{""parca"":""EXCAVATOR "",""list"":[""322C"",""322C FM"",""324D"",""324D FM"",""324D FM LL"",""324D L"",""324D LN"",""325C"",""325C FM"",""325D"",""325D FM"",""325D FM LL"",""325D L"",""325D MH"",""326D L"",""328D LCR"",""329D"",""329D L"",""329D LN"",""M325D L MH"",""M325D MH""]},{""parca"":""FORWARDER "",""list"":[""574"",""584""]},{""parca"":""GEN SET ENGINE "",""list"":[""3126B""]},{""parca"":""INDUSTRIAL ENGINE "",""list"":[""3116"",""3126"",""3126B"",""C7"",""C9.3""]},{""parca"":""INDUSTRIAL TRACTOR "",""list"":[""TK371"",""TK381""]},{""parca"":""INTEGRATED TOOLCARRIER "",""list"":[""IT38G II"",""IT62G II"",""IT62H""]},{""parca"":""LOGGER "",""list"":[""322C""]},{""parca"":""MARINE AUXILIARY "",""list"":[""3608""]},{""parca"":""MARINE ENGINE "",""list"":[""3126B""]},{""parca"":""MOBILE HYD POWER UNIT "",""list"":[""324D LN"",""325C"",""325D"",""325D L"",""329D L""]},{""parca"":""MOTOR GRADER "",""list"":[""120H"",""120K"",""120K 2"",""12K"",""12M"",""135H"",""140K"",""140K 2"",""140M"",""160K""]},{""parca"":""PETROLEUM ENGINE "",""list"":[""C7""]},{""parca"":""PIPELAYER "",""list"":[""561N""]},{""parca"":""PUMPER "",""list"":[""SPP101""]},{""parca"":""SOIL COMPACTOR "",""list"":[""815B""]},{""parca"":""TRACK LOADER "",""list"":[""963C""]},{""parca"":""TRACK-TYPE TRACTOR "",""list"":[""30/30"",""D5N"",""D6N"",""DEUCE""]},{""parca"":""TRUCK ENGINE "",""list"":[""3116"",""3126"",""3126B"",""3126E"",""C7"",""C9""]},{""parca"":""VIBRATORY COMPACTOR "",""list"":[""CS-531D"",""CS-533D"",""CS-563D"",""CS-573D"",""CS-583D""]},{""parca"":""WHEEL FELLER BUNCHER "",""list"":[""533"",""543"",""573"",""TK370"",""TK380""]},{""parca"":""WHEEL HARVESTER "",""list"":[""570B""]},{""parca"":""WHEEL LOADER "",""list"":[""938G II"",""950G II"",""950H"",""962G II"",""962H""]},{""parca"":""WHEEL SKIDDER "",""list"":[""525B"",""525C"",""535B"",""535C"",""545C""]},{""parca"":""WHEELED EXCAVATOR Caterpillar"",""list"":[""M325C MH""]}]"
"PAD AS 2296177 - Caterpillar","[""CA2296177"",""229-6177"",""2296177""]","Weight: 24 pounds 11 kg.",,"229-6177","[{""parca"":""TRUCK Caterpillar"",""list"":[""777D"",""777F"",""777G""]}]"
"VALVE GP-BRAKE CONTROL 1061774 - Caterpillar","[""CA1061774"",""106-1774"",""1061774""]","Weight: 3 pounds 1 kg.",,"1061774","[{""parca"":""INTEGRATED TOOLCARRIER "",""list"":[""IT62G"",""IT62G II"",""IT62H""]},{""parca"":""LANDFILL COMPACTOR "",""list"":[""816F"",""816F II"",""826G"",""826G II"",""826H"",""836G"",""836H""]},{""parca"":""SOIL COMPACTOR "",""list"":[""815F"",""815F II"",""825G"",""825G II"",""825H""]},{""parca"":""WHEEL DOZER "",""list"":[""814F"",""814F II"",""824G"",""824G II"",""824H"",""834G"",""834H"",""844"",""844H"",""854G"",""854K""]},{""parca"":""WHEEL LOADER "",""list"":[""950 GC"",""950F II"",""950G"",""950G II"",""950H"",""960F"",""962G"",""962G II"",""962H"",""966F II"",""966G"",""966G II"",""966H"",""970F"",""972G"",""972G II"",""972H"",""980G"",""980G II"",""980H"",""986H"",""988G"",""988H"",""990 II"",""990H"",""992G"",""992K"",""993K"",""994F"",""994H""]},{""parca"":""WHEEL SKIDDER Caterpillar"",""list"":[""525B"",""535B"",""545""]}]"
"MOUNT AS 3434836 - Caterpillar","[""CA3434836"",""343-4836"",""3434836""]","Weight: 10 pounds 4 kg.","3434836  MOUNT AS-YM  4246369  CL","343-4836","[{""parca"":""MOTOR GRADER "",""list"":[""16G"",""16H NA""]},{""parca"":""PIPELAYER "",""list"":[""578"",""583R"",""587R""]},{""parca"":""TRACK-TYPE TRACTOR "",""list"":[""D8N"",""D8R"",""D8R II""]},{""parca"":""WHEEL DOZER "",""list"":[""814B""]},{""parca"":""WHEEL SCRAPER "",""list"":[""623E"",""623F"",""627E""]},{""parca"":""WHEEL TRACTOR Caterpillar"",""list"":[""621E"",""621F"",""627B"",""627E"",""627F""]}]"
"BUSHING ASSEM. 2P7473 - Caterpillar","[""CA2P7473"",""2P-7473"",""2P7473""]","Weight: 10 pounds 4 kg.",,"2P7473","[{""parca"":""EXCAVATOR "",""list"":[""245""]},{""parca"":""WHEEL TRACTOR Caterpillar"",""list"":[""621E""]}]"
"TRUNNION GP-ENGINE 2P6246 - Caterpillar","[""CA2P6246"",""2P-6246"",""2P6246""]","Weight: 10 pounds 4 kg.","2P6246  TRUNNION-YM  5161577  CL","2P6246","[{""parca"":""EXCAVATOR "",""list"":[""215"",""225"",""235""]},{""parca"":""LANDFILL COMPACTOR "",""list"":[""816""]},{""parca"":""MOTOR GRADER "",""list"":[""120B"",""120G"",""12G"",""130G"",""140B"",""140G"",""14G""]},{""parca"":""PIPELAYER "",""list"":[""561C"",""561D"",""571G"",""572G""]},{""parca"":""SOIL COMPACTOR "",""list"":[""815""]},{""parca"":""TRACK LOADER "",""list"":[""941"",""951B"",""955K"",""955L"",""977K"",""977L""]},{""parca"":""TRACK-TYPE TRACTOR "",""list"":[""D4D"",""D4E"",""D5"",""D5B"",""D6C"",""D6D"",""D7G""]},{""parca"":""WHEEL DOZER "",""list"":[""814""]},{""parca"":""WHEEL LOADER "",""list"":[""920"",""930"",""950"",""966C"",""980B""]},{""parca"":""WHEEL SCRAPER "",""list"":[""627B"",""637D"",""639D""]},{""parca"":""WHEEL SKIDDER "",""list"":[""518"",""528""]},{""parca"":""WHEEL TRACTOR Caterpillar"",""list"":[""621R"",""627B""]}]"
"PLATE-CLUTCH 2760017 - Caterpillar","[""CA2760017"",""276-0017"",""2760017""]","Weight: 1 pounds 0 kg.","2760017  PLATE-CLUTCH  20R2820  R","276-0017","[{""parca"":""ARTICULATED TRUCK "",""list"":[""725"",""725C"",""730"",""735""]},{""parca"":""EJECTOR TRUCK "",""list"":[""730""]},{""parca"":""PETROLEUM ENGINE "",""list"":[""C9""]},{""parca"":""PETROLEUM PACKAGE "",""list"":[""TH35-C11I"",""TH35-C13I"",""TH35-C13T"",""TH35-C15I"",""TH35-C15T""]},{""parca"":""PETROLEUM TRANSMISSION Caterpillar"",""list"":[""TH31-E61"",""TH35-E81""]}]"
"SEAL 4E0207 - Caterpillar","[""CA4E0207"",""4E-0207"",""4E0207""]","Weight: 0.08 pounds 0 kg.",,"(4E)0207","[{""parca"":""INTEGRATED TOOLCARRIER "",""list"":[""IT18F"",""IT24F""]},{""parca"":""WHEEL LOADER Caterpillar"",""list"":[""918F"",""924F""]}]"
"RING-SEAL 6Y2281 - Caterpillar","[""CA6Y2281"",""6Y-2281"",""6Y2281""]","Weight: 0.05 pounds 0 kg.","AXIAL WIDTH  3.91  mm","6Y2281","[{""parca"":""ARTICULATED TRUCK "",""list"":[""735"",""735B"",""740"",""740B"",""D400E II""]},{""parca"":""EJECTOR TRUCK "",""list"":[""740"",""740B"",""D400E II""]},{""parca"":""QUARRY TRUCK "",""list"":[""771C"",""771D""]},{""parca"":""TRACTOR "",""list"":[""768C"",""776C"",""776D""]},{""parca"":""TRUCK "",""list"":[""69D"",""769C"",""769D"",""770"",""770G"",""770G OEM"",""772"",""772G"",""772G OEM"",""777D""]},{""parca"":""UNDERGROUND ART TRUCK "",""list"":[""AD40"",""AD45"",""AD45B"",""AD55"",""AE40"",""AE40 II""]},{""parca"":""WHEEL TRACTOR Caterpillar"",""list"":[""637E""]}]"
"SEAL 1437345 - Caterpillar","[""CA1437345"",""143-7345"",""1437345""]","Weight: 0.14 pounds 0 kg.","BORE DIAMETER  0  mm","1437345","[{""parca"":""INDUSTRIAL TRACTOR "",""list"":[""HA771"",""HA871"",""TK371"",""TK381""]},{""parca"":""SITE PREP TRACTOR "",""list"":[""2864C"",""586C""]},{""parca"":""WHEEL FELLER BUNCHER "",""list"":[""2470C"",""2570C"",""2670C"",""533"",""543"",""553C"",""563C"",""573C"",""HA770"",""HA870"",""TK370"",""TK380""]},{""parca"":""WHEEL SKIDDER Caterpillar"",""list"":[""525B"",""525C"",""525D"",""535B"",""535C"",""535D"",""545"",""545C"",""545D"",""555D""]}]"
"RING-RETAINING 6Y0470 - Caterpillar","[""CA6Y0470"",""6Y-0470"",""6Y0470""]","Weight: 0.05 pounds 0 kg.",,"6Y0470","[{""parca"":""PIPELAYER "",""list"":[""589""]},{""parca"":""TRACK-TYPE TRACTOR Caterpillar"",""list"":[""D9L"",""D9N"",""D9R"",""D9T""]}]"
"SEAL 1437357 - Caterpillar","[""CA1437357"",""143-7357"",""1437357""]","Weight: 0.14 pounds 0 kg.","BORE DIAMETER  0  mm","1437357","[{""parca"":""WHEEL SKIDDER Caterpillar"",""list"":[""545"",""545C"",""545D"",""555D""]}]"
"GASKET 3N2984 - Caterpillar","[""CA3N2984"",""3N-2984"",""3N2984""]","Weight: 0.03 pounds 0 kg.",,"3N2984","[{""parca"":""INDUSTRIAL ENGINE "",""list"":[""3208""]},{""parca"":""MARINE ENGINE Caterpillar"",""list"":[]}]"
